School Name,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Ball State University (BSU),Muncie,IN,Midwestern,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 "
Park University,Parkville,MO,Midwestern,"$44,300.00 ","$64,300.00 ","$37,200.00 ","$45,600.00 ","$86,400.00 ","$113,000.00 "
University of Wisconsin (UW) - Stevens Point,Stevens Point,WI,Midwestern,"$39,800.00 ","$64,000.00 ","$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 "
Kent State University,Kent,OH,Midwestern,"$38,700.00 ","$62,600.00 ","$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 "
University of Wisconsin (UW) - Green Bay,Green Bay,WI,Midwestern,"$35,800.00 ","$60,600.00 ","$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 "
Indiana Wesleyan University (IWU),Mayfield Heights,OH,Midwestern,"$39,800.00 ","$58,500.00 ","$39,600.00 ","$47,800.00 ","$78,600.00 ","$93,400.00 "
Pittsburg State University,Pittsburg,KS,Midwestern,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 "
Davenport University,Grand Rapids,MI,Midwestern,"$39,700.00 ","$46,600.00 ","$31,600.00 ","$38,100.00 ","$65,600.00 ","$85,700.00 "
Black Hills State University,Spearfish,SD,Midwestern,"$35,300.00 ","$43,900.00 ",N/A,"$32,200.00 ","$60,900.00 ",N/A
Rice University,Houston,TX,Southern,"$64,000.00 ","$110,000.00 ","$55,900.00 ","$82,100.00 ","$141,000.00 ","$216,000.00 "
Georgetown University,Washington,DC,Southern,"$55,000.00 ","$110,000.00 ","$60,300.00 ","$85,800.00 ","$174,000.00 ","$248,000.00 "
Duke University,Durham,NC,Southern,"$58,900.00 ","$106,000.00 ","$56,000.00 ","$77,400.00 ","$149,000.00 ","$218,000.00 "
Georgia Institute of Technology,Atlanta,GA,Southern,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 "
Washington and Lee University,Lexington,VA,Southern,"$53,600.00 ","$104,000.00 ",N/A,"$82,800.00 ","$146,000.00 ",N/A
Vanderbilt University,Nashville,TN,Southern,"$51,200.00 ","$104,000.00 ","$49,900.00 ","$68,100.00 ","$147,000.00 ","$222,000.00 "
Davidson College,Davidson,NC,Southern,"$46,100.00 ","$104,000.00 ",N/A,"$70,500.00 ","$146,000.00 ",N/A
University of Virginia (UVA),Charlottesville,VA,Southern,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 "
George Washington University (GWU),Washington,DC,Southern,"$47,000.00 ","$97,900.00 ","$48,400.00 ","$69,600.00 ","$132,000.00 ","$194,000.00 "
Texas A&M University,College Station,TX,Southern,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Tulane University,New Orleans,LA,Southern,"$49,100.00 ","$95,800.00 ","$46,500.00 ","$64,400.00 ","$134,000.00 ","$185,000.00 "
Virginia Polytechnic Institute and State University (Virginia Tech),Blacksburg,VA,Southern,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 "
"University of Maryland, College Park",College Park,MD,Southern,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
University of Richmond,University of Richmond,VA,Southern,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 "
University of Texas (UT) - Austin,Austin,TX,Southern,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
Emory University,Atlanta,GA,Southern,"$52,000.00 ","$91,600.00 ","$52,500.00 ","$63,300.00 ","$128,000.00 ","$192,000.00 "
"American University, Washington D.C.",Washington,DC,Southern,"$45,300.00 ","$90,800.00 ","$45,200.00 ","$62,400.00 ","$134,000.00 ","$169,000.00 "
University of Tulsa,Tulsa,OK,Southern,"$42,400.00 ","$88,700.00 ","$42,300.00 ","$60,300.00 ","$120,000.00 ","$197,000.00 "
Baylor University,Waco,TX,Southern,"$48,300.00 ","$88,600.00 ","$46,300.00 ","$60,700.00 ","$130,000.00 ","$200,000.00 "
University of Florida (UF),Gainesville,FL,Southern,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
Louisiana State University (LSU),Baton Rouge,LA,Southern,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
George Mason University,Fairfax,VA,Southern,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 "
Clemson University,Clemson,SC,Southern,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 "
University of Georgia (UGA),Athens,GA,Southern,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
Auburn University,Auburn,AL,Southern,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 "
University of Delaware,Newark,DE,Southern,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
Randolph-Macon College,Ashland,VA,Southern,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
North Carolina State University (NCSU),Raleigh,NC,Southern,"$47,200.00 ","$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 "
University of Oklahoma,Oklahoma City,OK,Southern,"$44,700.00 ","$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 "
University of Arkansas,Fayetteville,AR,Southern,"$44,100.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
University of Alabama at Huntsville (UAH),Huntsville,AL,Southern,"$43,100.00 ","$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
Howard University,Washington,DC,Southern,"$46,900.00 ","$81,800.00 ","$43,300.00 ","$60,000.00 ","$109,000.00 ","$138,000.00 "
University of North Carolina at Chapel Hill (UNCH),Chapel Hill,NC,Southern,"$42,900.00 ","$81,500.00 ","$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 "
"University of Alabama, Tuscaloosa",Tuscaloosa,AL,Southern,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
University of Texas at Arlington (UTA),Arlington,TX,Southern,"$45,400.00 ","$80,800.00 ","$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 "
