,INSTNM,CITY,STABBR
793,Albany Technical College,Albany,Georgia
794,Albany State University,Albany,Georgia
795,Andrew College,Cuthbert,Georgia
796,Armstrong State University,Savannah,Georgia
797,The Art Institute of Atlanta,Atlanta,Georgia
798,Georgia Career Institute,Conyers,Georgia
799,Atlanta Technical College,Atlanta,Georgia
800,Point University,West Point,Georgia
801,Atlanta Metropolitan State College,Atlanta,Georgia
802,Atlanta's John Marshall Law School,Atlanta,Georgia
803,Atlanta School of Massage,Atlanta,Georgia
804,Clark Atlanta University,Atlanta,Georgia
805,Augusta Technical College,Augusta,Georgia
806,Bainbridge State College,Bainbridge,Georgia
807,Berry College,Mount Berry,Georgia
808,Beulah Heights University,Atlanta,Georgia
809,Brenau University,Gainesville,Georgia
810,Brewton-Parker College,Mount Vernon,Georgia
811,Brown College of Court Reporting,Atlanta,Georgia
812,College of Coastal Georgia,Brunswick,Georgia
813,West Georgia Technical College,Waco,Georgia
814,Carver Bible College,Atlanta,Georgia
815,Clayton  State University,Morrow,Georgia
816,Columbia Theological Seminary,Decatur,Georgia
817,Columbus Technical College,Columbus,Georgia
818,Columbus State University,Columbus,Georgia
819,Georgia Northwestern Technical College,Rome,Georgia
820,Covenant College,Lookout Mountain,Georgia
821,Dalton State College,Dalton,Georgia
822,Pro Way Hair School,Stone Mountain,Georgia
823,South University-Savannah,Savannah,Georgia
824,East Georgia State College,Swainsboro,Georgia
825,Emmanuel College,Franklin Springs,Georgia
826,Emory University,Atlanta,Georgia
827,Georgia Highlands College,Rome,Georgia
828,Fort Valley State University,Fort Valley,Georgia
829,Grady Health System Professional Schools,Atlanta,Georgia
830,Georgia Institute of Technology-Main Campus,Atlanta,Georgia
831,Georgia Southwestern State University,Americus,Georgia
832,Georgia College & State University,Milledgeville,Georgia
833,Georgia Southern University,Statesboro,Georgia
834,Georgia State University,Atlanta,Georgia
835,University of Georgia,Athens,Georgia
836,Gordon State College,Barnesville,Georgia
837,Southern Crescent Technical College,Griffin,Georgia
838,Gupton Jones College of Funeral Service,Decatur,Georgia
839,Gwinnett College-Lilburn,Lilburn,Georgia
